City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,caleta de carquin,-11.0925,-77.6267,292.73,80,15,5.0,PE,2023-09-02 19:25:13
231,benguela,-12.5763,13.4055,293.83,82,82,1.29,AO,2023-09-02 19:25:13
232,saint-joseph,-21.3667,55.6167,292.36,79,20,4.88,RE,2023-09-02 19:25:14
233,morigaon,26.3796,92.3415,299.44,91,96,0.92,IN,2023-09-02 19:25:14
234,atafu village,-8.5421,-172.5159,301.5,79,100,7.61,TK,2023-09-02 19:25:14
235,anadyr,64.75,177.4833,282.43,76,75,10.0,RU,2023-09-02 19:25:14
236,vancleave,30.5405,-88.6875,302.42,84,0,3.09,US,2023-09-02 19:25:15
237,qingnian,36.8456,115.7117,295.58,93,6,3.9,CN,2023-09-02 19:25:15
238,chetwayi,10.5333,76.05,298.87,86,100,0.52,IN,2023-09-02 19:25:15
239,qingyuan,23.7,113.0333,299.14,94,98,2.09,CN,2023-09-02 19:25:15
240,sanctuary point,-35.1114,150.629,290.92,62,28,1.07,AU,2023-09-02 19:25:16
241,axim,4.8699,-2.2405,297.7,90,98,3.93,GH,2023-09-02 19:25:16
242,luwingu,-10.2621,29.9271,293.69,43,50,2.73,ZM,2023-09-02 19:25:16
243,mersa matruh,31.3525,27.2453,298.74,66,0,5.81,EG,2023-09-02 19:21:04
244,suva,-18.1416,178.4415,299.86,74,75,2.57,FJ,2023-09-02 19:25:16
245,deulgaon raja,20.0167,76.0333,296.86,79,92,3.46,IN,2023-09-02 19:25:17
246,nova sintra,14.8667,-24.7167,297.8,81,74,1.63,CV,2023-09-02 19:25:17
247,iwanai,42.9744,140.5089,296.16,73,2,0.63,JP,2023-09-02 19:25:17
248,xining,36.6167,101.7667,282.26,74,0,1.16,CN,2023-09-02 19:25:17
249,port mathurin,-19.6833,63.4167,295.61,70,19,11.16,MU,2023-09-02 19:25:18
250,korla,41.7597,86.1469,298.58,30,21,5.25,CN,2023-09-02 19:25:18
251,hamilton,39.1834,-84.5333,305.03,61,0,2.57,US,2023-09-02 19:25:07
252,angaur state,6.906,134.13,301.56,76,99,4.9,PW,2023-09-02 19:25:18
253,tira sujanpur,31.8333,76.5,296.95,79,0,1.5,IN,2023-09-02 19:25:19
254,saint-francois,46.4154,3.9054,289.84,82,0,1.03,FR,2023-09-02 19:25:19
255,aasiaat,68.7098,-52.8699,275.42,72,100,8.93,GL,2023-09-02 19:25:19
256,gadzhiyevo,69.2551,33.3362,287.25,88,35,0.54,RU,2023-09-02 19:25:19
257,darwin,-12.4611,130.8418,299.79,62,75,1.03,AU,2023-09-02 19:23:31
258,hovd,48.0056,91.6419,289.11,34,100,0.58,MN,2023-09-02 19:25:20
259,tual,-5.6667,132.75,298.21,78,20,8.56,ID,2023-09-02 19:25:20
260,ta`u,-14.2336,-169.5144,299.59,72,88,7.6,AS,2023-09-02 19:25:20
261,catia la mar,10.6038,-67.0303,301.26,69,75,1.03,VE,2023-09-02 19:25:20
262,la mira,18.035,-102.3266,303.82,73,96,3.96,MX,2023-09-02 19:25:21
263,geraldton,-28.7667,114.6,289.38,59,40,8.75,AU,2023-09-02 19:25:21
